;nome_tabela;nivel;vencimento
0;atual;1;13815.84
1;atual;2;15197.43
2;atual;3;15577.36
3;atual;4;15966.79
4;atual;5;16365.96
5;atual;6;16775.11
6;atual;7;18788.14
7;atual;8;19257.84
8;atual;9;19739.29
9;atual;10;20232.76
10;atual;11;20738.6
11;atual;12;22875.96
12;atual;13;23447.85
13;atual;14;24034.05
14;atual;15;24634.9
0;original;1;9000.0
1;original;2;10080.0
2;original;3;10684.8
3;original;4;11325.89
4;original;5;12005.44
5;original;6;12725.77
6;original;7;13998.34
7;original;8;14698.26
8;original;9;15433.17
9;original;10;16204.83
10;original;11;17015.08
11;original;12;18716.58
12;original;13;19558.83
13;original;14;20438.98
14;original;15;21358.73
0;original_atualizada_ipc;1;14389.77
1;original_atualizada_ipc;2;16116.55
2;original_atualizada_ipc;3;17083.54
3;original_atualizada_ipc;4;18108.55
4;original_atualizada_ipc;5;19195.06
5;original_atualizada_ipc;6;20346.77
6;original_atualizada_ipc;7;22381.44
7;original_atualizada_ipc;8;23500.51
8;original_atualizada_ipc;9;24675.53
9;original_atualizada_ipc;10;25909.31
10;original_atualizada_ipc;11;27204.79
11;original_atualizada_ipc;12;29925.26
12;original_atualizada_ipc;13;31271.9
13;original_atualizada_ipc;14;32679.14
14;original_atualizada_ipc;15;34149.7
