;nome_tabela;nivel;vencimento
0;atual;1;13815.84
1;atual;2;15197.43
2;atual;3;15577.36
3;atual;4;15966.79
4;atual;5;16365.96
5;atual;6;16775.11
6;atual;7;18788.14
7;atual;8;19257.84
8;atual;9;19739.29
9;atual;10;20232.76
10;atual;11;20738.6
11;atual;12;22875.96
12;atual;13;23447.85
13;atual;14;24034.05
14;atual;15;24634.9
0;original_atualizada_amci;1;21527.5
1;original_atualizada_amci;2;23680.25
2;original_atualizada_amci;3;24745.86
3;original_atualizada_amci;4;25859.43
4;original_atualizada_amci;5;27023.1
5;original_atualizada_amci;6;28239.14
6;original_atualizada_amci;7;31063.05
7;original_atualizada_amci;8;32150.26
8;original_atualizada_amci;9;33275.52
9;original_atualizada_amci;10;34440.16
10;original_atualizada_amci;11;35645.57
11;original_atualizada_amci;12;37427.85
12;original_atualizada_amci;13;38363.54
13;original_atualizada_amci;14;39130.81
14;original_atualizada_amci;15;39987.0
