;nome_tabela;nivel;vencimento
0;atual;1;13208.14
1;atual;2;14528.96
2;atual;3;14892.18
3;atual;4;15264.48
4;atual;5;15646.09
5;atual;6;16037.24
6;atual;7;17961.73
7;atual;8;18410.77
8;atual;9;18871.04
9;atual;10;19342.8
10;atual;11;19826.39
11;atual;12;21869.74
12;atual;13;22416.47
13;atual;14;22976.89
14;atual;15;23551.31
0;original;1;9000.0
1;original;2;10080.0
2;original;3;10684.8
3;original;4;11325.89
4;original;5;12005.44
5;original;6;12725.77
6;original;7;13998.34
7;original;8;14698.26
8;original;9;15433.17
9;original;10;16204.83
10;original;11;17015.08
11;original;12;18716.58
12;original;13;19558.83
13;original;14;20438.98
14;original;15;21358.73
0;amci;1;16840.38
1;amci;2;17682.41
2;amci;3;18036.04
3;amci;4;18396.78
4;amci;5;18764.71
5;amci;6;19139.99
6;amci;7;20097.0
7;amci;8;20498.94
8;amci;9;20908.92
9;amci;10;21327.1
10;amci;11;21753.64
11;amci;12;22841.33
12;amci;13;23183.95
13;amci;14;23531.72
14;amci;15;23884.67
0;original_atualizada_ipca;1;14298.56
1;original_atualizada_ipca;2;16014.39
2;original_atualizada_ipca;3;16975.25
3;original_atualizada_ipca;4;17993.77
4;original_atualizada_ipca;5;19073.39
5;original_atualizada_ipca;6;20217.8
6;original_atualizada_ipca;7;22239.57
7;original_atualizada_ipca;8;23351.56
8;original_atualizada_ipca;9;24519.13
9;original_atualizada_ipca;10;25745.09
10;original_atualizada_ipca;11;27032.36
11;original_atualizada_ipca;12;29735.58
12;original_atualizada_ipca;13;31073.69
13;original_atualizada_ipca;14;32472.01
14;original_atualizada_ipca;15;33933.24
0;original_atualizada_ipca_nunes;1;11647.13
1;original_atualizada_ipca_nunes;2;13044.79
2;original_atualizada_ipca_nunes;3;13827.48
3;original_atualizada_ipca_nunes;4;14657.13
4;original_atualizada_ipca_nunes;5;15536.55
5;original_atualizada_ipca_nunes;6;16468.75
6;original_atualizada_ipca_nunes;7;18115.62
7;original_atualizada_ipca_nunes;8;19021.4
8;original_atualizada_ipca_nunes;9;19972.47
9;original_atualizada_ipca_nunes;10;20971.09
10;original_atualizada_ipca_nunes;11;22019.66
11;original_atualizada_ipca_nunes;12;24221.61
12;original_atualizada_ipca_nunes;13;25311.59
13;original_atualizada_ipca_nunes;14;26450.62
14;original_atualizada_ipca_nunes;15;27640.89
